Name,geo_loc
Bangalore Banashankari,"(12.9393328, 77.5539819)"
Bangalore Basavanagudi,"(12.9417261, 77.5755021)"
Bangalore Mysore Road,"(12.922379684665422, 77.49535083227313)"
Bangalore Jayanagar,"(12.9399039, 77.5826382)"
Bangalore Kumaraswamy Layout,"(12.9067683, 77.5595021)"
Bangalore Rajarajeshwari Nagar,"(12.9274413, 77.5155224)"
Bangalore Vijay Nagar,
Bangalore Uttarahalli,"(12.9055682, 77.5455438)"
Bangalore JP Nagar,"(12.9096941, 77.5866067)"
Bangalore South Bangalore,"(12.98815675, 77.62260003796)"
Bangalore City Market,"(12.965717999999999, 77.5762705372058)"
Bangalore Nagarbhavi,"(12.9819569258295, 77.51837412776779)"
Bangalore Bannerghatta Road,"(12.951855665820787, 77.60401135701308)"
Bangalore BTM,"(12.9163603, 77.604733)"
Bangalore Kanakapura Road,"(12.9367159, 77.5753743)"
Bangalore Bommanahalli,"(12.9089453, 77.6239038)"
Bangalore nan,"(52.49148485, 1.2372484335227272)"
Bangalore CV Raman Nagar,"(12.9854892, 77.6679809)"
Bangalore Electronic City,"(12.848759900000001, 77.64825295827616)"
Bangalore HSR,"(12.90056335, 77.64947470503677)"
Bangalore Marathahalli,"(12.9552572, 77.6984163)"
Bangalore Sarjapur Road,"(12.924013794074499, 77.6530859615482)"
Bangalore Wilson Garden,"(12.9489339, 77.5968273)"
Bangalore Shanti Nagar,"(12.9575547, 77.5979099)"
Bangalore Koramangala 5th Block,"(12.9348429, 77.6189768)"
Bangalore Koramangala 8th Block,"(12.9408685, 77.617338)"
Bangalore Richmond Road,"(12.970018575089048, 77.61701974132181)"
Bangalore Koramangala 7th Block,"(12.9364846, 77.6134783)"
Bangalore Jalahalli,"(13.0394104, 77.5197351)"
Bangalore Koramangala 4th Block,"(12.9327778, 77.6294052)"
Bangalore Bellandur,"(12.92535245, 77.6759410570909)"
Bangalore Whitefield,"(12.9696365, 77.7497448)"
Bangalore East Bangalore,"(12.98815675, 77.62260003796)"
Bangalore Old Airport Road,"(12.9606321, 77.64249975)"
Bangalore Indiranagar,"(12.9962979, 77.5452778)"
Bangalore Koramangala 1st Block,"(12.9277245, 77.6327822)"
Bangalore Frazer Town,"(12.9986827, 77.615525)"
Bangalore RT Nagar,"(13.0227204, 77.595715)"
Bangalore MG Road,"(12.9755264, 77.6067902)"
Bangalore Brigade Road,"(12.97364413065367, 77.60750847201824)"
Bangalore Lavelle Road,"(12.972227072739638, 77.59866491535907)"
Bangalore Church Street,"(12.975700066194872, 77.60208311450552)"
Bangalore Ulsoor,"(12.9778793, 77.6246697)"
Bangalore Residency Road,"(12.966230516922312, 77.59824378863956)"
Bangalore Shivajinagar,"(12.986391, 77.6075416)"
Bangalore Infantry Road,"(12.980005949674641, 77.60500064990403)"
Bangalore St. Marks Road,"(12.975801449285402, 77.60169240479877)"
Bangalore Cunningham Road,"(12.985725778251844, 77.59604055863997)"
Bangalore Race Course Road,"(12.983009663675498, 77.57678789965348)"
Bangalore Commercial Street,"(12.982242260731894, 77.60826495277115)"
Bangalore Vasanth Nagar,"(12.9934283, 77.5902145)"
Bangalore HBR Layout,"(13.0358698, 77.6323597)"
Bangalore Domlur,"(12.9624669, 77.6381958)"
Bangalore Ejipura,"(12.9427087, 77.6307137)"
Bangalore Jeevan Bhima Nagar,"(12.9678074, 77.6568367)"
Bangalore Old Madras Road,"(12.983486268599062, 77.63905809493075)"
Bangalore Malleshwaram,"(13.0027353, 77.5703253)"
Bangalore Seshadripuram,"(12.9931876, 77.5753419)"
Bangalore Kammanahalli,"(13.0093455, 77.6377094)"
Bangalore Koramangala 6th Block,"(12.9390255, 77.6238477)"
Bangalore Majestic,"(12.9779079, 77.5723936)"
Bangalore Langford Town,"(12.957998, 77.6037312)"
Bangalore Central Bangalore,"(12.97339325, 77.61124684880099)"
Bangalore Sanjay Nagar,"(12.9578658, 77.6958748)"
Bangalore Brookefield,"(12.96381425, 77.72243691580387)"
"Bangalore ITPL Main Road, Whitefield","(12.9688497, 77.7168965231575)"
"Bangalore Varthur Main Road, Whitefield","(12.9596497, 77.7479366999217)"
Bangalore KR Puram,"(13.007516, 77.695935)"
Bangalore Koramangala 2nd Block,"(12.9243692, 77.6242433)"
Bangalore Koramangala 3rd Block,"(12.9282918, 77.6254034)"
Bangalore Koramangala,"(12.9355801, 77.6180899)"
Bangalore Hosur Road,"(12.951773921360584, 77.60513523209458)"
Bangalore Rajajinagar,"(13.0005359, 77.5496996)"
Bangalore Banaswadi,"(13.0058357, 77.6281321)"
Bangalore North Bangalore,"(12.98815675, 77.62260003796)"
Bangalore Nagawara,"(13.0422794, 77.6248577)"
Bangalore Hennur,"(13.0258087, 77.6305067)"
Bangalore Kalyan Nagar,"(13.0221416, 77.6403368)"
Bangalore New BEL Road,"(13.028605720818474, 77.57123576086566)"
